,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-06-10,29.03,24.81,39.35,46.99,136.4,46.94,46.37,26.97,20.26,44.45,27.14,39.24,139.31,31.5,28.15,45.16,11.64,27.36,11.91,86.59,21.7,33.77,21.21,54.23,13.09,26.65,100.48,60.83,23.09,22.85,28.73,45.19,33.68,34.18,11.8,26.49,21.96,21.88,19.13,22.77,15.35,5.95,9.76,78.6,45.2,70.37,38.38,29.48,52.23,34.23,12.52,6.52,6.43,16.32,66.33,31.96,51.0,18.79,38.1,21.46
2009-06-11,28.9,23.82,39.41,45.52,136.11,46.6,45.8,28.07,20.51,44.39,28.05,39.38,137.86,31.46,28.1,44.49,11.7,27.42,12.4,85.69,21.52,34.35,21.46,54.34,13.29,26.99,101.45,62.28,23.19,23.14,28.53,45.36,33.67,34.61,12.77,26.65,21.83,21.73,19.02,22.86,14.91,5.75,9.66,78.64,45.14,69.77,38.79,29.32,52.45,34.64,12.84,6.63,6.37,16.19,66.52,32.06,50.4,18.93,38.32,21.7
2009-06-12,28.15,23.38,39.1,46.22,133.21,47.2,45.89,29.31,20.96,44.65,27.41,38.72,138.33,31.96,28.32,44.96,11.74,27.29,12.51,84.08,21.44,35.77,21.6,54.72,13.15,27.7,100.35,62.95,23.62,23.04,28.6,44.38,33.78,34.52,13.51,26.65,21.69,21.66,18.98,22.85,14.86,5.88,10.03,78.4,45.61,70.24,39.32,28.86,52.86,35.13,12.95,6.69,6.35,16.4,66.28,32.23,51.0,18.75,38.76,21.2
2009-06-15,27.34,23.45,38.84,44.49,132.35,46.52,44.22,28.59,21.04,43.55,26.04,37.54,135.83,31.32,27.68,43.71,11.43,26.24,11.98,83.18,20.51,34.86,21.25,53.2,12.66,26.24,99.8,61.57,22.9,22.01,28.25,42.46,32.34,33.21,13.13,25.33,21.19,21.39,19.29,22.25,14.61,5.7,10.1,76.24,44.55,69.64,38.35,28.0,51.38,34.5,12.45,6.25,6.28,16.4,65.41,31.19,50.5,18.23,37.98,20.83
2009-06-16,27.45,22.95,38.71,43.87,132.61,46.04,44.43,28.91,21.07,43.07,25.68,37.06,136.92,30.71,27.61,43.52,11.11,25.96,12.0,82.15,19.89,34.89,21.13,52.39,12.39,26.51,99.52,60.53,22.61,21.51,28.29,42.13,31.84,33.06,12.53,24.5,20.81,20.81,18.92,21.85,14.56,5.45,9.83,75.3,43.49,69.42,38.36,27.37,50.83,34.27,12.35,6.16,6.32,15.96,64.35,30.74,49.88,17.97,37.27,20.78
2009-06-17,26.98,22.26,39.1,43.62,131.86,46.6,43.19,29.23,21.28,43.16,25.37,37.44,132.71,31.13,27.89,43.8,10.65,26.39,12.36,82.65,19.96,35.7,21.18,52.96,12.7,27.3,99.23,59.62,21.4,21.16,29.08,42.01,31.16,32.99,12.11,23.18,21.25,21.21,19.55,21.91,14.55,5.49,9.9,76.3,43.41,69.63,39.03,27.59,50.97,34.81,12.34,6.17,6.28,15.6,64.16,30.03,50.14,18.08,37.48,20.77
2009-06-18,27.16,22.4,39.62,43.99,132.15,47.93,44.72,29.16,21.12,43.47,25.94,37.31,135.9,31.7,28.82,43.91,10.49,25.98,12.65,81.6,19.64,35.68,21.89,53.2,12.71,27.65,98.61,59.28,21.97,21.48,29.26,41.96,30.51,32.36,12.7,24.34,21.13,20.95,19.47,22.77,14.7,5.46,9.83,75.85,44.41,70.85,39.9,27.23,51.49,34.94,12.2,6.2,6.27,15.34,64.18,31.35,50.83,17.88,37.68,20.82
2009-06-19,27.26,22.9,39.77,43.52,135.65,47.42,45.16,29.27,21.63,42.91,26.46,37.4,135.94,31.6,28.55,43.45,10.6,26.23,12.71,82.96,19.78,35.76,21.56,53.26,12.71,28.03,98.2,58.96,22.42,21.31,29.94,42.1,30.13,33.61,13.02,25.33,20.98,21.1,19.77,22.38,14.51,5.5,9.89,76.18,43.95,70.05,39.8,27.26,51.96,35.68,12.86,6.45,6.13,15.8,63.83,32.11,50.84,17.82,37.48,21.02
2009-06-22,25.65,21.59,39.15,42.14,133.6,47.05,43.5,28.61,20.92,43.24,24.62,36.38,130.13,31.59,26.93,43.83,10.09,25.32,12.54,79.15,18.82,35.09,21.2,51.55,12.48,27.25,96.93,56.96,20.86,20.57,29.34,40.52,28.97,32.58,11.76,23.01,20.2,20.86,19.14,22.24,13.71,5.17,9.45,74.25,43.88,69.14,39.82,26.29,50.82,35.11,12.56,6.13,5.84,14.71,61.84,30.16,49.99,17.34,37.1,20.72
2009-06-23,26.17,21.74,38.62,39.41,130.33,46.63,44.23,29.18,20.97,43.29,24.36,36.95,134.1,31.5,26.94,43.61,10.16,25.81,12.48,77.68,18.69,36.0,21.12,51.18,12.63,27.65,96.85,57.14,21.23,20.82,29.13,41.27,29.55,32.72,12.04,23.34,20.48,20.52,18.81,22.58,13.97,5.32,9.43,74.73,43.88,69.03,39.98,26.77,49.53,34.76,12.56,6.26,5.82,14.68,61.94,30.8,49.61,17.49,36.0,20.99
